ISSUE;TYPE;STORY TITLE;STORYLINE;EVENT;COVER DATE;RELEASE DATE;WRITER;PENCILER;MAIN CHARACTERS;ANTAGONISTS;SUPPORTING CHARACTERS
Avengers Vol 1 1;Main Series;The Coming of the Avengers!;;;1963-09;1963-07-02;Stan Lee;Jack Kirby;Avengers 🢒 (First appearance) (Origin revealed) | 🢐 Thor (Odinson) 🢒 / Dr. Donald Blake (Joins group) | 🢐 Hulk / Mechano (Bruce Banner) 🢒 (Joins group) | 🢐 Ant-Man (Hank Pym) 🢒 (Joins group) | 🢐 Wasp (Janet Van Dyne) 🢒 (Joins group) | 🢐 Iron Man (Tony Stark) 🢒 (Joins group);🢐 Loki 🢒 | Rock Trolls (First appearance) | Isle of Silence Trolls (First appearance);Teen Brigade | 🢐 Rick Jones 🢒 | Willie Bishop (First appearance) | Ant-Man's Ants
Avengers Vol 1 2;Main Series;The Avengers Battle... the Space Phantom;;;1963-11;1963-09-03;Stan Lee;Jack Kirby;Avengers | 🢐 Hulk (Bruce Banner) 🢒 (Leaves group) | 🢐 Thor (Odinson) 🢒 / 🢐 Donald Blake 🢒 | 🢐 Iron Man (Tony Stark) 🢒 | 🢐 Giant-Man (Henry Pym) 🢒 | 🢐 Wasp (Janet Van Dyne) 🢒;Space Phantom 🢒 (First appearance) (Impersonates Unidentified man, Hulk, Wasp, Giant-Man and Iron Man);Ant-Man's Ants | Teen Brigade | 🢐 Rick Jones 🢒 | Unnamed member
