ISSUE;TYPE;STORY TITLE;STORYLINE;EVENT;COVER DATE;RELEASE DATE;WRITER;PENCILER;MAIN CHARACTERS;ANTAGONISTS;SUPPORTING CHARACTERS
Daredevil Vol 1 1;Main Series;The Origin of Daredevil;;;1964-04;1964-02-04;Stan Lee;Bill Everett;Daredevil (Matt Murdock) 🢒 (Main story and flashback) (First appearance);Fixer (First appearance) (Main story and flashback) (Death) | Porky (Main story and flashback) | Sam (Main story and flashback) | Slade (Main story and flashback);Nelson and Murdock Attorneys at Law 🢒 (Main story and flashback) (First appearance) | Foggy Nelson 🢒 (Main story and flashback) (First appearance) | Karen Page 🢒 (Main story and flashback) (First appearance)
Daredevil Vol 1 2;Main Series;The Evil Menace of Electro!;;;1964-06;1964-04-02;Stan Lee;Joe Orlando;🢐 Daredevil (Matt Murdock) 🢒;🢐 Electro 🢒;🢐 Nelson and Murdock 🢒 | 🢐 Foggy Nelson 🢒 | 🢐 Karen Page 🢒
